_msg_id,_ts,_msg_type,PrtryMsg.MsgHdr.MsgId,PrtryMsg.MsgHdr.CreDtTm,PrtryMsg.Rltd.Ref,PrtryMsg.PrtryData.Tp,PrtryMsg.PrtryData.Data.Nrrtv,_ns,_format
FREE00000416,2026-07-07T04:46:19.931,camt.998.001.03,FREE00000198,2026-07-10T15:45:21,REF00000145429,FREE_FORMAT,PANCELLATIOTUSEQUEST REF43517187,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000291,2026-07-11T13:32:50.034,camt.998.001.03,FREE00000310,2026-07-09T03:17:40,REF00000577525,FREE_FORMAT,CANMENLASIOTUS QUERT REF07687315,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000347,2026-07-03T15:24:07.755,camt.998.001.03,FREE00000552,2026-07-04T19:01:40,REF00000129938,FREE_FORMAT,CAYMENTATTAT R QUERT REF53080971,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000224,2026-07-07T18:59:14.436,camt.998.001.03,FREE00000377,2026-07-14T20:26:22,REF00000567430,FREE_FORMAT,PANMELL STOTUS QUESY REF53733832,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000565,2026-07-03T18:21:07.255,camt.998.001.03,FREE00000458,2026-07-01T12:33:24,REF00000196166,FREE_FORMAT,CAYCENTATTATUS QUEST REF43820188,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000473,2026-07-13T02:09:03.571,camt.998.001.03,FREE00000286,2026-07-01T13:23:35,REF00000539095,FREE_FORMAT,CANMENT STOTUR QUESY REF32408611,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000138,2026-07-02T15:27:56.374,camt.998.001.03,FREE00000125,2026-07-01T14:10:28,REF00000257835,FREE_FORMAT,PAYMENT TIAT R QUERY REF80947836,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000024,2026-07-09T04:06:09.363,camt.998.001.03,FREE00000289,2026-07-14T20:59:50,REF00000137830,FREE_FORMAT,PAYMELL STON REQUERY REF34772582,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000385,2026-07-03T09:41:33.276,camt.998.001.03,FREE00000047,2026-07-13T05:34:48,REF00000197801,FREE_FORMAT,CANCENT STANUSEQUEST REF75956765,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000358,2026-07-04T18:59:56.004,camt.998.001.03,FREE00000562,2026-07-14T13:08:29,REF00000061733,FREE_FORMAT,PANCENLATTAN SEQUERT REF94442503,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000226,2026-07-03T08:20:57.542,camt.998.001.03,FREE00000323,2026-07-01T02:01:49,REF00000059263,FREE_FORMAT,PANCELLASTANUS QUERY REF44347595,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000289,2026-07-13T02:52:23.243,camt.998.001.03,FREE00000420,2026-07-02T04:28:35,REF00000026026,FREE_FORMAT,CANCELTASIAT SEQUESY REF02127318,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000002,2026-07-09T21:55:24.255,camt.998.001.03,FREE00000357,2026-07-06T02:09:47,REF00000508159,FREE_FORMAT,PAYMENLASIOT S QUERY REF48408152,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000278,2026-07-07T09:03:49.486,camt.998.001.03,FREE00000028,2026-07-13T10:21:38,REF00000468920,FREE_FORMAT,PANMELLASTAT R QUESY REF62289403,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000494,2026-07-05T05:08:42.629,camt.998.001.03,FREE00000563,2026-07-11T02:01:31,REF00000215234,FREE_FORMAT,CANMELL STAN REQUEST REF17824167,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000523,2026-07-11T16:23:50.018,camt.998.001.03,FREE00000376,2026-07-05T01:43:21,REF00000262259,FREE_FORMAT,CAYMELT SIOTUS QUERT REF91486977,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000334,2026-07-06T14:02:20.879,camt.998.001.03,FREE00000302,2026-07-11T11:01:21,REF00000567814,FREE_FORMAT,PANMENTASIANUS QUERT REF30249635,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000461,2026-07-12T22:16:28.164,camt.998.001.03,FREE00000126,2026-07-03T03:21:16,REF00000444135,FREE_FORMAT,PAYMENTATTON S QUERT REF69084837,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000566,2026-07-14T02:18:02.987,camt.998.001.03,FREE00000504,2026-07-08T14:19:02,REF00000359853,FREE_FORMAT,PAYCELTATTON S QUERY REF63963839,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FREE00000216,2026-07-11T04:00:58.469,camt.998.001.03,FREE00000153,2026-07-11T01:36:56,REF00000095230,FREE_FORMAT,CAYCENL STONUS QUERT REF31270627,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
