_msg_id,_ts,_mt_type,32A_ccy,21,_sender_bic,_receiver_bic,32A_amount,52A,57A,58A,_format
REF00000257118,2026-07-04T10:56:38.303,202,SGD,REL42112889,DBSSSGSG,CITIUS33,343177,DBSSSGSG,UOVBSGSG,CITIUS33,mt
REF00000571249,2026-07-04T06:02:49.147,202,SGD,REL99263882,OCBCSGSG,CITIUS33,623878,OCBCSGSG,CITIUS33,CITIUS33,mt
REF00000301372,2026-07-07T11:33:45.514,202,SGD,REL22719005,OCBCSGSG,MAYBMYKL,48108,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000363751,2026-07-04T08:04:04.755,202,EUR,REL74077672,UOVBSGSG,MAYBMYKL,61485,OCBCSGSG,DBSSSGSG,CITIUS33,mt
REF00000323029,2026-07-12T19:35:36.515,202,SGD,REL67560036,DBSSSGSG,MAYBMYKL,15416,DBSSSGSG,MAYBMYKL,CITIUS33,mt
REF00000474738,2026-07-12T16:53:37.912,202,SGD,REL10102807,DBSSSGSG,CITIUS33,208758,DBSSSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000426186,2026-07-12T21:29:53.413,202,MYR,REL67377542,OCBCSGSG,CITIUS33,103361,OCBCSGSG,UOVBSGSG,CITIUS33,mt
REF00000077550,2026-07-06T10:55:18.928,202,EUR,REL22901343,OCBCSGSG,CITIUS33,34403,UOVBSGSG,UOVBSGSG,CITIUS33,mt
REF00000341176,2026-07-09T08:30:33.109,202,USD,REL14976318,DBSSSGSG,MAYBMYKL,166320,OCBCSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000536714,2026-07-03T09:35:26.328,202,SGD,REL39676790,UOVBSGSG,CITIUS33,49245,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000057342,2026-07-04T16:58:41.886,202,SGD,REL26477883,OCBCSGSG,CITIUS33,99382,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000003755,2026-07-13T22:44:33.463,202,SGD,REL44376450,OCBCSGSG,HSBCGB2L,46719,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000007077,2026-07-03T00:27:18.461,202,EUR,REL81657744,UOVBSGSG,HSBCGB2L,209098,DBSSSGSG,CITIUS33,MAYBMYKL,mt
REF00000244161,2026-07-01T11:05:31.424,202,SGD,REL65043055,DBSSSGSG,MAYBMYKL,445220,DBSSSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000416477,2026-07-12T08:56:36.437,202,SGD,REL60260224,DBSSSGSG,CITIUS33,20413,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000121242,2026-07-12T02:28:01.949,202,USD,REL15871570,OCBCSGSG,CITIUS33,156482,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000425432,2026-07-08T19:19:12.721,202,USD,REL95841789,OCBCSGSG,MAYBMYKL,82226,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000198353,2026-07-13T18:09:25.126,202,SGD,REL16689403,DBSSSGSG,CITIUS33,117226,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000567519,2026-07-10T08:58:41.345,202,SGD,REL64300858,DBSSSGSG,MAYBMYKL,4934,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000129160,2026-07-05T04:11:25.693,202,SGD,REL94641117,OCBCSGSG,HSBCGB2L,132559,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000080883,2026-07-09T01:25:43.606,202,SGD,REL78339459,UOVBSGSG,MAYBMYKL,53097,DBSSSGSG,HSBCGB2L,CITIUS33,mt
REF00000217186,2026-07-10T12:27:31.875,202,SGD,REL56324454,DBSSSGSG,HSBCGB2L,445697,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000698692,2026-07-10T20:31:50.502,202,SGD,REL86736875,DBSSSGSG,MAYBMYKL,22094,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000757095,2026-07-10T01:39:25.401,202,USD,REL40685675,UOVBSGSG,HSBCGB2L,25463,OCBCSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000510973,2026-07-06T15:25:20.954,202,USD,REL17453413,DBSSSGSG,MAYBMYKL,29769,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000121375,2026-07-06T01:04:47.926,202,SGD,REL68996644,OCBCSGSG,HSBCGB2L,460832,DBSSSGSG,MAYBMYKL,CITIUS33,mt
REF00000312317,2026-07-13T22:08:08.290,202,SGD,REL19121018,UOVBSGSG,MAYBMYKL,36532,DBSSSGSG,CITIUS33,CITIUS33,mt
REF00000551036,2026-07-09T15:56:09.525,202,SGD,REL33266165,DBSSSGSG,CITIUS33,248811,OCBCSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000641278,2026-07-11T00:14:31.840,202,SGD,REL58411717,OCBCSGSG,MAYBMYKL,173909,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000774424,2026-07-09T18:59:27.790,202,SGD,REL88221488,UOVBSGSG,MAYBMYKL,225058,OCBCSGSG,UOVBSGSG,CITIUS33,mt
REF00000474351,2026-07-06T14:35:02.729,202,SGD,REL96362512,OCBCSGSG,MAYBMYKL,103766,DBSSSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000233906,2026-07-11T02:17:52.592,202,USD,REL60820391,DBSSSGSG,HSBCGB2L,276745,OCBCSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000757804,2026-07-11T19:55:07.721,202,SGD,REL36335315,DBSSSGSG,MAYBMYKL,79569,UOVBSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000425338,2026-07-04T02:13:47.588,202,USD,REL34511665,UOVBSGSG,HSBCGB2L,51579,UOVBSGSG,UOVBSGSG,CITIUS33,mt
REF00000598165,2026-07-05T18:10:56.431,202,USD,REL25746837,DBSSSGSG,CITIUS33,88629,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000122451,2026-07-02T01:10:19.498,202,EUR,REL18757076,DBSSSGSG,CITIUS33,71416,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000018357,2026-07-04T22:31:49.986,202,USD,REL25788672,UOVBSGSG,HSBCGB2L,275688,UOVBSGSG,CITIUS33,CITIUS33,mt
