_msg_id,_ts,_mt_type,32A_ccy,21,_sender_bic,_receiver_bic,32A_amount,52A,57A,58A,_format
REF00000348665,2026-07-02T08:31:55.351,202,SGD,REL48915467,DBSSSGSG,CITIUS33,46865,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000553712,2026-07-12T01:27:25.072,202,SGD,REL26541533,UOVBSGSG,HSBCGB2L,224947,OCBCSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000795899,2026-07-11T08:57:12.440,202,SGD,REL72668701,UOVBSGSG,MAYBMYKL,135819,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000073172,2026-07-09T03:25:45.805,202,SGD,REL03808583,OCBCSGSG,CITIUS33,34609,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000562626,2026-07-06T02:08:22.632,202,USD,REL81744874,DBSSSGSG,MAYBMYKL,13374,OCBCSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000128217,2026-07-04T09:34:49.942,202,USD,REL54891660,UOVBSGSG,CITIUS33,55127,DBSSSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000794939,2026-07-03T16:40:46.259,202,USD,REL79541259,DBSSSGSG,CITIUS33,147628,OCBCSGSG,MAYBMYKL,CITIUS33,mt
REF00000167049,2026-07-09T00:54:26.480,202,SGD,REL29619741,OCBCSGSG,MAYBMYKL,71866,OCBCSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000617667,2026-07-13T05:55:02.401,202,USD,REL33088198,DBSSSGSG,HSBCGB2L,115061,DBSSSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000353809,2026-07-02T09:23:51.311,202,USD,REL88126204,DBSSSGSG,CITIUS33,268018,DBSSSGSG,CITIUS33,MAYBMYKL,mt
REF00000058018,2026-07-01T19:45:06.373,202,SGD,REL32290095,OCBCSGSG,HSBCGB2L,56128,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000493088,2026-07-13T21:07:28.193,202,SGD,REL26275092,UOVBSGSG,MAYBMYKL,908778,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000664350,2026-07-04T17:53:11.631,202,SGD,REL40879443,DBSSSGSG,MAYBMYKL,246647,OCBCSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000795852,2026-07-01T12:33:55.484,202,SGD,REL67726459,UOVBSGSG,HSBCGB2L,60657,DBSSSGSG,CITIUS33,CITIUS33,mt
REF00000693719,2026-07-05T08:12:03.921,202,SGD,REL47200567,DBSSSGSG,MAYBMYKL,171326,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000238933,2026-07-11T06:47:31.625,202,USD,REL49382067,UOVBSGSG,HSBCGB2L,159752,DBSSSGSG,CITIUS33,CITIUS33,mt
REF00000005140,2026-07-08T02:39:04.780,202,EUR,REL11722714,DBSSSGSG,CITIUS33,300081,DBSSSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000239541,2026-07-03T13:09:11.004,202,SGD,REL05141518,UOVBSGSG,HSBCGB2L,39300,UOVBSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000441210,2026-07-09T12:54:52.765,202,USD,REL24982139,UOVBSGSG,HSBCGB2L,481526,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000349811,2026-07-08T05:03:44.909,202,SGD,REL85283376,OCBCSGSG,MAYBMYKL,11664,OCBCSGSG,OCBCSGSG,CITIUS33,mt
REF00000701601,2026-07-11T22:47:35.678,202,SGD,REL03652244,UOVBSGSG,HSBCGB2L,72818,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000697188,2026-07-02T04:50:09.443,202,EUR,REL35133628,OCBCSGSG,MAYBMYKL,30936,DBSSSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000339384,2026-07-05T18:37:55.512,202,USD,REL09680073,UOVBSGSG,CITIUS33,16430,OCBCSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000726412,2026-07-02T00:01:20.727,202,SGD,REL89200539,UOVBSGSG,HSBCGB2L,196326,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000541626,2026-07-03T05:14:00.921,202,USD,REL29680941,DBSSSGSG,MAYBMYKL,214770,UOVBSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000723364,2026-07-13T22:57:19.572,202,USD,REL94548404,OCBCSGSG,HSBCGB2L,144538,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000026375,2026-07-06T17:58:59.641,202,MYR,REL15546239,OCBCSGSG,HSBCGB2L,13939,UOVBSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000021331,2026-07-11T22:30:03.403,202,SGD,REL29439120,UOVBSGSG,HSBCGB2L,122453,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000471499,2026-07-10T05:25:03.910,202,MYR,REL39337717,UOVBSGSG,HSBCGB2L,14882,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000323104,2026-07-12T01:35:17.566,202,USD,REL90200304,UOVBSGSG,CITIUS33,208034,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000004689,2026-07-08T21:47:47.525,202,SGD,REL77828249,DBSSSGSG,HSBCGB2L,15575,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000035007,2026-07-08T03:45:07.036,202,SGD,REL96152883,DBSSSGSG,CITIUS33,259009,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000400295,2026-07-08T08:38:28.195,202,USD,REL85450154,OCBCSGSG,MAYBMYKL,116197,OCBCSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000667947,2026-07-11T12:16:36.394,202,SGD,REL63910240,DBSSSGSG,CITIUS33,73488,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000254935,2026-07-13T07:39:33.501,202,USD,REL01361642,DBSSSGSG,MAYBMYKL,83760,OCBCSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000604844,2026-07-02T21:38:19.859,202,SGD,REL01122548,OCBCSGSG,CITIUS33,135432,DBSSSGSG,MAYBMYKL,CITIUS33,mt
REF00000068623,2026-07-11T09:56:58.887,202,SGD,REL72456025,UOVBSGSG,HSBCGB2L,49827,DBSSSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000526299,2026-07-02T05:52:36.022,202,USD,REL29089706,DBSSSGSG,HSBCGB2L,92455,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000281533,2026-07-02T19:04:40.600,202,SGD,REL42784891,OCBCSGSG,CITIUS33,49925,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000067611,2026-07-02T17:01:19.181,202,USD,REL02356595,UOVBSGSG,CITIUS33,96206,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000256200,2026-07-07T22:09:35.081,202,SGD,REL28421123,UOVBSGSG,CITIUS33,78840,UOVBSGSG,OCBCSGSG,CITIUS33,mt
REF00000478029,2026-07-03T00:15:29.787,202,EUR,REL07906136,UOVBSGSG,CITIUS33,31987,UOVBSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000110615,2026-07-03T01:57:58.903,202,SGD,REL39255214,UOVBSGSG,MAYBMYKL,54212,OCBCSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000529975,2026-07-10T03:48:01.380,202,SGD,REL31158780,UOVBSGSG,HSBCGB2L,141864,UOVBSGSG,CITIUS33,MAYBMYKL,mt
REF00000654570,2026-07-02T18:49:17.652,202,SGD,REL11722168,DBSSSGSG,HSBCGB2L,12544,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000347127,2026-07-01T04:29:02.938,202,SGD,REL49009584,UOVBSGSG,MAYBMYKL,80500,OCBCSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000759495,2026-07-01T20:16:13.140,202,SGD,REL40458868,UOVBSGSG,HSBCGB2L,39451,DBSSSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000635378,2026-07-03T16:08:43.854,202,USD,REL56508873,DBSSSGSG,CITIUS33,217350,UOVBSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000041384,2026-07-06T15:00:48.607,202,EUR,REL50546632,UOVBSGSG,MAYBMYKL,155890,OCBCSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000611307,2026-07-08T14:13:20.604,202,USD,REL99156879,OCBCSGSG,CITIUS33,10527,OCBCSGSG,CITIUS33,MAYBMYKL,mt
REF00000368582,2026-07-10T13:39:06.294,202,SGD,REL91590129,UOVBSGSG,CITIUS33,182409,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000546475,2026-07-09T03:02:30.591,202,SGD,REL24751762,DBSSSGSG,HSBCGB2L,48876,OCBCSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000736439,2026-07-03T16:21:55.812,202,USD,REL53466632,UOVBSGSG,HSBCGB2L,303232,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000050843,2026-07-11T22:24:19.783,202,USD,REL04798972,OCBCSGSG,CITIUS33,86585,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000691214,2026-07-09T16:39:55.142,202,USD,REL64236851,UOVBSGSG,MAYBMYKL,84816,DBSSSGSG,CITIUS33,CITIUS33,mt
REF00000485815,2026-07-01T20:48:19.248,202,SGD,REL19816222,DBSSSGSG,MAYBMYKL,246181,UOVBSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000483059,2026-07-10T14:14:34.833,202,SGD,REL07415692,OCBCSGSG,CITIUS33,304588,UOVBSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000293465,2026-07-11T03:17:17.998,202,SGD,REL87873795,DBSSSGSG,MAYBMYKL,84621,DBSSSGSG,OCBCSGSG,CITIUS33,mt
REF00000697803,2026-07-08T16:31:53.485,202,USD,REL32334182,UOVBSGSG,HSBCGB2L,7406,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000322437,2026-07-06T09:53:53.029,202,MYR,REL65361112,UOVBSGSG,MAYBMYKL,8339,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000566321,2026-07-12T05:53:38.452,202,EUR,REL46177224,DBSSSGSG,CITIUS33,74616,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000755357,2026-07-03T04:40:13.374,202,SGD,REL76317452,UOVBSGSG,MAYBMYKL,36713,DBSSSGSG,UOVBSGSG,CITIUS33,mt
REF00000559113,2026-07-07T12:40:30.040,202,SGD,REL74419120,DBSSSGSG,MAYBMYKL,220202,DBSSSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000166107,2026-07-09T18:48:28.863,202,SGD,REL04288527,UOVBSGSG,CITIUS33,171716,DBSSSGSG,CITIUS33,HSBCGB2L,mt
REF00000767715,2026-07-02T05:00:07.583,202,EUR,REL12695708,DBSSSGSG,CITIUS33,55055,UOVBSGSG,CITIUS33,CITIUS33,mt
REF00000361210,2026-07-03T07:31:53.272,202,SGD,REL94671365,UOVBSGSG,CITIUS33,323473,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000436133,2026-07-09T11:10:18.558,202,USD,REL08994184,OCBCSGSG,HSBCGB2L,10603,DBSSSGSG,OCBCSGSG,CITIUS33,mt
REF00000422201,2026-07-11T17:23:49.533,202,SGD,REL29039993,OCBCSGSG,HSBCGB2L,318992,OCBCSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000155171,2026-07-08T04:59:35.931,202,USD,REL96199631,DBSSSGSG,HSBCGB2L,110095,DBSSSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000664958,2026-07-03T16:37:42.216,202,MYR,REL66711518,UOVBSGSG,HSBCGB2L,89046,UOVBSGSG,UOVBSGSG,CITIUS33,mt
REF00000715803,2026-07-03T11:50:29.641,202,USD,REL08379158,OCBCSGSG,CITIUS33,23598,UOVBSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000074151,2026-07-02T00:02:37.633,202,SGD,REL82424034,OCBCSGSG,MAYBMYKL,22553,OCBCSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000503869,2026-07-12T16:03:35.085,202,USD,REL31892595,DBSSSGSG,CITIUS33,70898,OCBCSGSG,OCBCSGSG,CITIUS33,mt
REF00000334016,2026-07-02T19:08:51.779,202,EUR,REL48409370,UOVBSGSG,MAYBMYKL,331530,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000403130,2026-07-11T20:05:42.931,202,USD,REL64131223,DBSSSGSG,MAYBMYKL,306297,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000178029,2026-07-11T09:59:04.410,202,SGD,REL28401746,OCBCSGSG,HSBCGB2L,38303,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000732239,2026-07-03T19:33:29.372,202,USD,REL58517569,UOVBSGSG,MAYBMYKL,50562,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000460061,2026-07-11T18:38:18.328,202,SGD,REL25622932,DBSSSGSG,CITIUS33,146644,DBSSSGSG,CITIUS33,MAYBMYKL,mt
REF00000019757,2026-07-07T02:03:37.440,202,MYR,REL49682222,UOVBSGSG,CITIUS33,84149,UOVBSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000719348,2026-07-09T07:05:00.313,202,USD,REL43991000,DBSSSGSG,HSBCGB2L,146877,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000744691,2026-07-09T18:11:28.577,202,USD,REL78506381,UOVBSGSG,MAYBMYKL,29685,OCBCSGSG,UOVBSGSG,CITIUS33,mt
REF00000365519,2026-07-03T12:08:34.958,202,SGD,REL33460670,UOVBSGSG,MAYBMYKL,187822,DBSSSGSG,CITIUS33,CITIUS33,mt
REF00000037097,2026-07-11T02:20:29.294,202,SGD,REL57419413,DBSSSGSG,CITIUS33,50055,OCBCSGSG,OCBCSGSG,CITIUS33,mt
REF00000414141,2026-07-02T00:39:53.297,202,SGD,REL97223781,DBSSSGSG,MAYBMYKL,122475,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000367526,2026-07-04T13:48:30.475,202,USD,REL55002443,DBSSSGSG,HSBCGB2L,23514,UOVBSGSG,CITIUS33,CITIUS33,mt
REF00000343650,2026-07-06T02:45:08.425,202,SGD,REL57641601,OCBCSGSG,CITIUS33,126524,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000215851,2026-07-10T05:35:11.848,202,MYR,REL25085987,UOVBSGSG,MAYBMYKL,78898,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000746287,2026-07-10T12:23:44.193,202,SGD,REL53557623,OCBCSGSG,HSBCGB2L,252236,OCBCSGSG,MAYBMYKL,CITIUS33,mt
REF00000078576,2026-07-05T18:22:49.915,202,SGD,REL31063471,UOVBSGSG,MAYBMYKL,334580,UOVBSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000437911,2026-07-06T12:36:07.090,202,SGD,REL70671550,DBSSSGSG,MAYBMYKL,98204,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000042222,2026-07-09T01:37:18.974,202,USD,REL30144706,UOVBSGSG,HSBCGB2L,214223,OCBCSGSG,CITIUS33,MAYBMYKL,mt
REF00000116156,2026-07-09T21:15:54.032,202,SGD,REL09017376,DBSSSGSG,CITIUS33,192870,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000401737,2026-07-03T18:26:48.560,202,USD,REL00454056,UOVBSGSG,HSBCGB2L,56641,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000458667,2026-07-13T06:14:52.032,202,MYR,REL45334375,DBSSSGSG,HSBCGB2L,87907,OCBCSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000517512,2026-07-08T23:37:40.755,202,MYR,REL78379648,UOVBSGSG,MAYBMYKL,20790,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000697939,2026-07-05T04:22:33.324,202,SGD,REL07692482,UOVBSGSG,CITIUS33,188964,OCBCSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000721141,2026-07-03T10:01:08.601,202,MYR,REL26057451,OCBCSGSG,HSBCGB2L,54419,OCBCSGSG,DBSSSGSG,CITIUS33,mt
REF00000024644,2026-07-07T13:16:05.444,202,USD,REL42258356,DBSSSGSG,CITIUS33,10882,OCBCSGSG,UOVBSGSG,CITIUS33,mt
REF00000614916,2026-07-10T04:09:37.498,202,SGD,REL24626606,DBSSSGSG,CITIUS33,99345,OCBCSGSG,OCBCSGSG,CITIUS33,mt
REF00000496581,2026-07-13T19:37:55.200,202,SGD,REL43198453,OCBCSGSG,CITIUS33,44169,OCBCSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000603060,2026-07-02T21:31:54.359,202,SGD,REL66272036,UOVBSGSG,CITIUS33,37144,UOVBSGSG,CITIUS33,CITIUS33,mt
REF00000495896,2026-07-06T18:53:33.165,202,SGD,REL70694459,OCBCSGSG,CITIUS33,25848,UOVBSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000522755,2026-07-08T09:19:38.577,202,SGD,REL84846738,DBSSSGSG,CITIUS33,134615,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000341314,2026-07-06T18:46:11.035,202,SGD,REL87117587,DBSSSGSG,HSBCGB2L,300984,UOVBSGSG,OCBCSGSG,CITIUS33,mt
REF00000700405,2026-07-08T09:26:31.603,202,USD,REL35294270,UOVBSGSG,HSBCGB2L,25369,UOVBSGSG,UOVBSGSG,CITIUS33,mt
REF00000496395,2026-07-10T17:04:05.236,202,SGD,REL17155348,OCBCSGSG,HSBCGB2L,401432,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000435037,2026-07-13T01:48:36.334,202,USD,REL00569599,OCBCSGSG,HSBCGB2L,66657,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000609726,2026-07-08T22:21:04.488,202,SGD,REL44770090,UOVBSGSG,HSBCGB2L,49281,OCBCSGSG,CITIUS33,MAYBMYKL,mt
REF00000583183,2026-07-03T07:31:15.888,202,USD,REL94443159,OCBCSGSG,HSBCGB2L,198145,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000351179,2026-07-04T18:34:24.264,202,SGD,REL57739705,OCBCSGSG,CITIUS33,48124,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000412750,2026-07-10T00:29:55.696,202,SGD,REL97661684,OCBCSGSG,HSBCGB2L,39389,DBSSSGSG,CITIUS33,MAYBMYKL,mt
REF00000738792,2026-07-10T05:22:38.017,202,USD,REL69904018,OCBCSGSG,MAYBMYKL,80277,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000415019,2026-07-03T12:24:43.450,202,SGD,REL80681148,UOVBSGSG,HSBCGB2L,126909,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000620624,2026-07-08T17:55:26.708,202,SGD,REL89722486,UOVBSGSG,HSBCGB2L,15793,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000362305,2026-07-13T20:14:27.037,202,USD,REL34776344,OCBCSGSG,HSBCGB2L,239246,OCBCSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000073467,2026-07-11T09:49:24.283,202,SGD,REL74665170,UOVBSGSG,CITIUS33,77610,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000359041,2026-07-08T17:54:36.897,202,MYR,REL22813513,OCBCSGSG,CITIUS33,172425,OCBCSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000599281,2026-07-04T20:32:27.256,202,MYR,REL28995789,OCBCSGSG,HSBCGB2L,46533,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000116360,2026-07-10T09:41:59.040,202,SGD,REL13785101,DBSSSGSG,MAYBMYKL,128103,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000581927,2026-07-02T06:39:29.550,202,USD,REL24864000,DBSSSGSG,HSBCGB2L,208550,UOVBSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000519022,2026-07-11T00:46:21.396,202,USD,REL61007529,DBSSSGSG,HSBCGB2L,180847,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000103694,2026-07-08T17:13:15.050,202,EUR,REL40061813,DBSSSGSG,CITIUS33,29639,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000643928,2026-07-06T11:30:06.587,202,USD,REL48873558,UOVBSGSG,HSBCGB2L,33836,UOVBSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000348014,2026-07-07T05:05:05.454,202,USD,REL27233269,OCBCSGSG,CITIUS33,223647,UOVBSGSG,CITIUS33,HSBCGB2L,mt
REF00000115078,2026-07-13T00:25:23.481,202,USD,REL45986732,UOVBSGSG,HSBCGB2L,105266,OCBCSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000034327,2026-07-07T08:59:03.009,202,SGD,REL74070247,DBSSSGSG,CITIUS33,449714,OCBCSGSG,CITIUS33,HSBCGB2L,mt
REF00000659425,2026-07-02T17:36:02.844,202,SGD,REL76489313,OCBCSGSG,MAYBMYKL,141017,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000525761,2026-07-10T02:47:26.425,202,USD,REL57824272,UOVBSGSG,CITIUS33,28412,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000362595,2026-07-09T23:01:49.307,202,SGD,REL09339640,OCBCSGSG,CITIUS33,651369,OCBCSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000184361,2026-07-11T02:14:23.587,202,USD,REL86876493,UOVBSGSG,HSBCGB2L,43608,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000147419,2026-07-03T23:55:06.928,202,SGD,REL81301467,UOVBSGSG,HSBCGB2L,168360,DBSSSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000636238,2026-07-03T14:01:07.338,202,SGD,REL72507672,OCBCSGSG,MAYBMYKL,345305,DBSSSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000496240,2026-07-04T19:16:15.978,202,USD,REL44180232,UOVBSGSG,HSBCGB2L,25658,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000205466,2026-07-09T03:17:03.167,202,EUR,REL48876124,UOVBSGSG,MAYBMYKL,7272,DBSSSGSG,OCBCSGSG,CITIUS33,mt
REF00000020483,2026-07-11T20:57:44.380,202,EUR,REL50513542,DBSSSGSG,CITIUS33,51860,DBSSSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000131014,2026-07-13T20:11:35.574,202,SGD,REL98337537,OCBCSGSG,CITIUS33,453120,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000036597,2026-07-11T03:18:17.768,202,SGD,REL47146364,DBSSSGSG,HSBCGB2L,135307,DBSSSGSG,UOVBSGSG,CITIUS33,mt
REF00000634749,2026-07-05T20:00:54.211,202,MYR,REL01531860,UOVBSGSG,MAYBMYKL,627968,UOVBSGSG,OCBCSGSG,HSBCGB2L,mt
