_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format
MSG00000391237,2026-07-08T06:14:26.616,pacs.009.001.08,USD,MSG00000573603,2026-07-12T01:11:38,1,INDA,REF00000370643,fda7f9f0-93e7-d61d-3d55-b572c1480b18,47785,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000295158,2026-07-12T01:03:36.973,pacs.009.001.08,USD,MSG00000572867,2026-07-13T14:29:34,1,INDA,REF00000564068,01df0957-197e-585d-09a6-19f0d5da932d,95539,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000207482,2026-07-12T04:12:44.058,pacs.009.001.08,EUR,MSG00000176421,2026-07-06T10:33:28,1,INDA,REF00000260328,a1de5c3a-3c2a-2af8-2e0b-63e518c91aa6,181857,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000060953,2026-07-05T19:09:31.475,pacs.009.001.08,SGD,MSG00000007900,2026-07-14T12:40:07,1,INDA,REF00000278248,27390220-bd0c-262b-bcb3-44eb431851af,282830,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000673590,2026-07-13T04:15:57.329,pacs.009.001.08,SGD,MSG00000693760,2026-07-14T12:05:49,1,INDA,REF00000605656,2db0da65-d5df-cfc9-84b4-97954e18db1b,103518,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000249145,2026-07-10T05:06:34.228,pacs.009.001.08,SGD,MSG00000592350,2026-07-03T09:05:29,1,INDA,REF00000373451,01696fc9-cd8e-a86a-cbbd-cd985eb651ce,47639,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000062187,2026-07-11T20:27:45.263,pacs.009.001.08,SGD,MSG00000625788,2026-07-01T10:04:23,1,INDA,REF00000503070,47c9bd87-ea35-5ce8-e25e-1196c4d2649b,126455,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000289402,2026-07-10T14:13:38.016,pacs.009.001.08,USD,MSG00000502072,2026-07-09T20:15:47,1,INDA,REF00000054279,95df17fc-5133-43fb-0264-c8d9be72a169,84859,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000365549,2026-07-05T09:28:48.492,pacs.009.001.08,SGD,MSG00000145943,2026-07-02T07:04:04,1,INDA,REF00000696136,cbf9855a-1aab-3d29-3a4c-f1c0d0722bbf,7625,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000481398,2026-07-06T16:02:55.111,pacs.009.001.08,SGD,MSG00000118432,2026-07-04T11:14:35,1,INDA,REF00000135281,110073c8-8922-aadf-eda6-680d0e08d01d,54181,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000386211,2026-07-13T19:10:39.415,pacs.009.001.08,SGD,MSG00000531594,2026-07-13T19:18:03,1,INDA,REF00000055012,d52e7173-06cc-643a-223e-6cc6aa11dde7,38787,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000673740,2026-07-07T15:34:23.623,pacs.009.001.08,USD,MSG00000094750,2026-07-03T19:28:01,1,INDA,REF00000020667,eeba9f38-bea3-538d-e882-fae3171623cc,152566,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000152531,2026-07-10T18:22:17.482,pacs.009.001.08,SGD,MSG00000440575,2026-07-09T18:40:06,1,INDA,REF00000532298,ba3864bb-f1e1-0639-8d59-226ae3e3ffc9,71313,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000745434,2026-07-05T23:56:12.236,pacs.009.001.08,SGD,MSG00000607687,2026-07-01T21:09:03,1,INDA,REF00000630688,92d7194f-fa77-3c32-1c97-566473098641,13875,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000087964,2026-07-03T05:22:48.482,pacs.009.001.08,EUR,MSG00000291512,2026-07-13T06:35:30,1,INDA,REF00000134886,9cae754d-4a54-eab5-638b-96c2bccc76b8,103897,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000497496,2026-07-12T12:16:06.411,pacs.009.001.08,SGD,MSG00000726017,2026-07-08T21:15:57,1,INDA,REF00000428716,544d8e8d-cc22-9113-2f87-5323a0b94ee3,87529,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000038976,2026-07-06T10:24:21.186,pacs.009.001.08,USD,MSG00000626486,2026-07-03T13:36:30,1,INDA,REF00000305500,de3f5e4b-6704-b507-4629-cb288bc42177,175809,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000149537,2026-07-08T03:55:17.630,pacs.009.001.08,SGD,MSG00000679185,2026-07-08T13:57:37,1,INDA,REF00000670473,143debac-d9a5-be29-e736-e8839db38eb9,129433,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000244275,2026-07-11T02:55:07.593,pacs.009.001.08,EUR,MSG00000499034,2026-07-11T10:48:05,1,INDA,REF00000122225,3e39bf56-cba1-8e7e-1f3a-68bd6198bcea,613387,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000132953,2026-07-04T02:32:46.749,pacs.009.001.08,USD,MSG00000206746,2026-07-14T05:17:06,1,INDA,REF00000275843,75d08f99-8bc5-5340-aa03-fafd714dcd8a,47436,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000178408,2026-07-12T06:47:33.750,pacs.009.001.08,EUR,MSG00000381025,2026-07-06T10:33:28,1,INDA,REF00000378608,3d509c0f-85f8-1cc1-aa19-73c4d6df81ee,137267,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000178024,2026-07-02T00:12:44.088,pacs.009.001.08,USD,MSG00000135896,2026-07-12T02:13:42,1,INDA,REF00000159263,51c2e428-c7da-646a-bb75-1a384301b740,235804,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000126026,2026-07-01T15:37:50.119,pacs.009.001.08,SGD,MSG00000444651,2026-07-08T21:48:13,1,INDA,REF00000102627,0dfab4f4-8bbf-3e80-ee81-87fc8915123a,24596,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000478326,2026-07-06T17:06:51.416,pacs.009.001.08,SGD,MSG00000658593,2026-07-03T02:31:48,1,INDA,REF00000554935,1cb8f86c-fb35-a422-ebf4-098754420fd7,379452,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000685101,2026-07-12T12:55:41.735,pacs.009.001.08,SGD,MSG00000505152,2026-07-07T11:31:38,1,INDA,REF00000130178,58dd24ba-4bd1-204d-9c43-7f3d384348ca,23185,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000002094,2026-07-05T02:06:59.824,pacs.009.001.08,SGD,MSG00000259905,2026-07-13T12:10:16,1,INDA,REF00000080146,6c1212ec-8d89-5996-a338-ac9d1a984511,24113,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000595915,2026-07-02T23:15:52.659,pacs.009.001.08,SGD,MSG00000326889,2026-07-09T21:54:54,1,INDA,REF00000406458,108bf58b-331e-9d60-4d80-3ad7def1233a,460914,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000645129,2026-07-02T09:30:51.444,pacs.009.001.08,SGD,MSG00000664215,2026-07-06T18:02:29,1,INDA,REF00000204942,88e29284-0b21-e901-fb65-411f37389590,510298,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000135338,2026-07-03T08:50:22.204,pacs.009.001.08,SGD,MSG00000270627,2026-07-07T11:26:34,1,INDA,REF00000426515,0e2462f0-eda6-6a24-bfd9-c2499d67d68a,810485,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000483980,2026-07-10T20:53:13.512,pacs.009.001.08,SGD,MSG00000482120,2026-07-13T22:17:40,1,INDA,REF00000144359,b74a8669-f027-0ab4-392b-49a467beabc7,183390,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000700052,2026-07-12T08:12:11.426,pacs.009.001.08,USD,MSG00000484985,2026-07-10T21:38:44,1,INDA,REF00000254031,1c33e40e-8e89-6bb3-c17e-06c7d3213916,41496,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000770731,2026-07-11T19:36:25.099,pacs.009.001.08,USD,MSG00000666306,2026-07-03T20:12:37,1,INDA,REF00000027664,ed543b7a-3847-0737-f5e9-78a02d8d928f,800316,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000055915,2026-07-02T09:41:00.239,pacs.009.001.08,MYR,MSG00000673848,2026-07-01T00:13:46,1,INDA,REF00000548482,5e49aa9a-696e-0fcb-fa5e-c604be2d4c25,67935,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000632868,2026-07-08T06:50:34.582,pacs.009.001.08,SGD,MSG00000379462,2026-07-13T12:10:16,1,INDA,REF00000732594,6d51a1ed-5f72-b7c4-3f69-511335b7b5a2,329240,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000030183,2026-07-14T22:20:32.110,pacs.009.001.08,SGD,MSG00000095935,2026-07-02T22:05:12,1,INDA,REF00000553931,4a491eab-8d18-4f40-387d-36040d6916d4,208831,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000250604,2026-07-04T18:06:07.652,pacs.009.001.08,EUR,MSG00000510832,2026-07-04T20:04:33,1,INDA,REF00000639353,2241ccdd-de44-8930-14c8-898603721ec1,57825,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000780167,2026-07-10T21:07:25.593,pacs.009.001.08,SGD,MSG00000475345,2026-07-13T12:25:01,1,INDA,REF00000253190,1a25a3c5-a603-6a10-4ffc-7bb83e92d7d5,97203,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
