_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format
MSG00000129300,2026-07-14T06:08:49.057,pacs.009.001.08,SGD,MSG00000360401,2026-07-01T10:50:29,1,INDA,REF00000132251,eeba9f38-bea3-538d-e882-fae3171623cc,74700,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000127849,2026-07-10T22:00:30.449,pacs.009.001.08,SGD,MSG00000405755,2026-07-14T16:03:12,1,INDA,REF00000532298,ba3864bb-f1e1-0639-8d59-226ae3e3ffc9,76346,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000543461,2026-07-13T16:34:28.086,pacs.009.001.08,SGD,MSG00000607687,2026-07-02T09:36:54,1,INDA,REF00000606306,92d7194f-fa77-3c32-1c97-566473098641,87333,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000696457,2026-07-06T05:20:48.392,pacs.009.001.08,SGD,MSG00000512299,2026-07-12T08:32:37,1,INDA,REF00000348864,9cae754d-4a54-eab5-638b-96c2bccc76b8,21157,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000395653,2026-07-01T07:49:58.116,pacs.009.001.08,MYR,MSG00000177650,2026-07-10T10:11:34,1,INDA,REF00000287166,544d8e8d-cc22-9113-2f87-5323a0b94ee3,51630,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000396166,2026-07-04T09:22:52.429,pacs.009.001.08,USD,MSG00000017881,2026-07-07T02:26:27,1,INDA,REF00000513873,de3f5e4b-6704-b507-4629-cb288bc42177,157319,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000481302,2026-07-12T20:23:39.654,pacs.009.001.08,USD,MSG00000043214,2026-07-12T08:01:04,1,INDA,REF00000732575,143debac-d9a5-be29-e736-e8839db38eb9,156305,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000758946,2026-07-11T22:40:50.479,pacs.009.001.08,SGD,MSG00000772582,2026-07-12T08:32:37,1,INDA,REF00000225419,3e39bf56-cba1-8e7e-1f3a-68bd6198bcea,69152,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000306204,2026-07-13T14:06:30.281,pacs.009.001.08,EUR,MSG00000243242,2026-07-04T08:52:08,1,INDA,REF00000759567,75d08f99-8bc5-5340-aa03-fafd714dcd8a,198096,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000444250,2026-07-09T05:33:22.996,pacs.009.001.08,USD,MSG00000298301,2026-07-14T16:23:29,1,INDA,REF00000733438,3d509c0f-85f8-1cc1-aa19-73c4d6df81ee,235804,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000592632,2026-07-13T02:58:14.586,pacs.009.001.08,MYR,MSG00000322958,2026-07-08T13:30:44,1,INDA,REF00000135896,51c2e428-c7da-646a-bb75-1a384301b740,49569,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000610262,2026-07-12T19:12:06.018,pacs.009.001.08,SGD,MSG00000057419,2026-07-13T09:15:33,1,INDA,REF00000048444,0dfab4f4-8bbf-3e80-ee81-87fc8915123a,161229,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000549353,2026-07-13T19:26:08.436,pacs.009.001.08,USD,MSG00000741696,2026-07-10T14:46:02,1,INDA,REF00000165859,1cb8f86c-fb35-a422-ebf4-098754420fd7,8753,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000013017,2026-07-13T07:27:27.697,pacs.009.001.08,SGD,MSG00000558793,2026-07-07T18:08:21,1,INDA,REF00000198915,58dd24ba-4bd1-204d-9c43-7f3d384348ca,146183,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000778580,2026-07-06T12:10:31.329,pacs.009.001.08,SGD,MSG00000721487,2026-07-13T20:36:49,1,INDA,REF00000595425,6c1212ec-8d89-5996-a338-ac9d1a984511,36847,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000781465,2026-07-13T16:47:09.265,pacs.009.001.08,MYR,MSG00000075645,2026-07-09T22:54:54,1,INDA,REF00000548617,108bf58b-331e-9d60-4d80-3ad7def1233a,101897,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000679323,2026-07-10T11:54:48.306,pacs.009.001.08,SGD,MSG00000440764,2026-07-11T05:20:03,1,INDA,REF00000004553,88e29284-0b21-e901-fb65-411f37389590,128121,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000109843,2026-07-10T01:52:45.334,pacs.009.001.08,SGD,MSG00000521396,2026-07-01T12:41:08,1,INDA,REF00000158433,0e2462f0-eda6-6a24-bfd9-c2499d67d68a,174815,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000360799,2026-07-04T01:51:53.496,pacs.009.001.08,SGD,MSG00000552566,2026-07-07T11:26:34,1,INDA,REF00000595028,b74a8669-f027-0ab4-392b-49a467beabc7,46382,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000222944,2026-07-07T17:35:40.805,pacs.009.001.08,SGD,MSG00000112953,2026-07-01T05:36:27,1,INDA,REF00000126760,1c33e40e-8e89-6bb3-c17e-06c7d3213916,136658,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000536050,2026-07-05T10:00:51.270,pacs.009.001.08,SGD,MSG00000430979,2026-07-06T13:57:22,1,INDA,REF00000676185,ed543b7a-3847-0737-f5e9-78a02d8d928f,458282,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000303028,2026-07-13T09:04:25.710,pacs.009.001.08,SGD,MSG00000328484,2026-07-07T01:45:23,1,INDA,REF00000689502,5e49aa9a-696e-0fcb-fa5e-c604be2d4c25,25126,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000351419,2026-07-04T09:05:35.336,pacs.009.001.08,EUR,MSG00000761713,2026-07-08T08:25:07,1,INDA,REF00000034894,6d51a1ed-5f72-b7c4-3f69-511335b7b5a2,24354,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000366957,2026-07-02T13:15:08.995,pacs.009.001.08,SGD,MSG00000465018,2026-07-04T04:30:04,1,INDA,REF00000175240,4a491eab-8d18-4f40-387d-36040d6916d4,26034,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000348675,2026-07-08T12:27:33.385,pacs.009.001.08,SGD,MSG00000628657,2026-07-01T01:42:37,1,INDA,REF00000381628,2241ccdd-de44-8930-14c8-898603721ec1,28798,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000355752,2026-07-08T05:01:39.707,pacs.009.001.08,USD,MSG00000397140,2026-07-06T03:59:27,1,INDA,REF00000327704,1a25a3c5-a603-6a10-4ffc-7bb83e92d7d5,91183,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
