_msg_id,_ts,_msg_type,PrtryMsg.MsgHdr.MsgId,PrtryMsg.MsgHdr.CreDtTm,PrtryMsg.Rltd.Ref,PrtryMsg.PrtryData.Tp,PrtryMsg.PrtryData.Data.Nrrtv,_ns,_format
MGDH88024602,2026-07-09T21:49:58.335,camt.998.001.03,FREE00000425,2026-07-01T09:27:26,REF00000436713,FREE_FORMAT,CAYCELTASIAT S QUERT REF80439059,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
IZZM41888906,2026-07-03T15:46:55.280,camt.998.001.03,FREE00000026,2026-07-02T07:05:49,REF00000596404,FREE_FORMAT,CAYMENLATIANUR QUESY REF40478905,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
CTIK25540973,2026-07-14T10:51:41.014,camt.998.001.03,FREE00000232,2026-07-07T20:54:57,REF00000403783,FREE_FORMAT,PAYMENL TTOTUSEQUEST REF76464911,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
CENN62055320,2026-07-05T18:41:13.900,camt.998.001.03,FREE00000439,2026-07-14T00:45:27,REF00000573055,FREE_FORMAT,CAYCELLASIOTUR QUESY REF40945095,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
MSQO08797380,2026-07-04T10:18:01.876,camt.998.001.03,FREE00000575,2026-07-07T23:44:05,REF00000357536,FREE_FORMAT,PANCENTATTATUSEQUERY REF63027365,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
SQRL83208377,2026-07-05T08:20:55.859,camt.998.001.03,FREE00000289,2026-07-02T12:19:16,REF00000024685,FREE_FORMAT,PAYMENT SIANUS QUEST REF23756662,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FNDR53058712,2026-07-04T19:38:57.136,camt.998.001.03,FREE00000099,2026-07-02T07:09:45,REF00000298546,FREE_FORMAT,PAYMELTATIATUREQUEST REF32287178,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
XNVB40174532,2026-07-12T14:02:34.226,camt.998.001.03,FREE00000291,2026-07-05T01:02:54,REF00000308183,FREE_FORMAT,PANCELTASION S QUEST REF78266348,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
DACM04502654,2026-07-08T20:16:34.854,camt.998.001.03,FREE00000151,2026-07-11T05:49:52,REF00000339251,FREE_FORMAT,PANCELLASIONUSEQUERT REF38231307,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
OOLK66985176,2026-07-06T10:34:37.357,camt.998.001.03,FREE00000274,2026-07-08T15:29:05,REF00000074633,FREE_FORMAT,PAYMENTASTATUSEQUERT REF27557040,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
NTRQ65383223,2026-07-06T07:12:18.736,camt.998.001.03,FREE00000345,2026-07-01T16:49:37,REF00000233725,FREE_FORMAT,CANCELLASION SEQUESY REF54240276,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
PAKA90658801,2026-07-08T00:15:30.281,camt.998.001.03,FREE00000122,2026-07-09T13:23:16,REF00000258339,FREE_FORMAT,PANCENTATIAT REQUESY REF22631185,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
HLCU35881193,2026-07-13T20:49:31.663,camt.998.001.03,FREE00000227,2026-07-06T21:47:49,REF00000449793,FREE_FORMAT,PAYMENTASIOTUR QUERY REF89693320,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
AQWZ86052403,2026-07-09T13:23:17.408,camt.998.001.03,FREE00000572,2026-07-08T07:37:51,REF00000099473,FREE_FORMAT,CAYMENLATIOTUREQUERY REF26941803,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
HBSL95635685,2026-07-05T19:58:53.672,camt.998.001.03,FREE00000269,2026-07-12T14:39:39,REF00000319030,FREE_FORMAT,CAYMELT TTOTUREQUEST REF45725216,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
NXYT99226962,2026-07-09T12:26:57.410,camt.998.001.03,FREE00000244,2026-07-06T14:17:33,REF00000074783,FREE_FORMAT,CANMELTATTANUR QUERY REF54754943,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
UWAB52244501,2026-07-06T23:28:26.017,camt.998.001.03,FREE00000127,2026-07-05T18:52:57,REF00000171428,FREE_FORMAT,CAYMENL TTON S QUERY REF06163935,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
IAAW10702223,2026-07-12T03:36:36.383,camt.998.001.03,FREE00000484,2026-07-04T20:04:33,REF00000502406,FREE_FORMAT,PAYMENT SIOTUSEQUERT REF23685265,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
JKPI33678267,2026-07-05T18:47:33.056,camt.998.001.03,FREE00000512,2026-07-08T15:29:05,REF00000512216,FREE_FORMAT,CAYCENLATIOT R QUESY REF88151913,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
RLPE43707344,2026-07-02T08:06:50.713,camt.998.001.03,FREE00000515,2026-07-05T04:51:24,REF00000433342,FREE_FORMAT,CANCELL SIANUSEQUERY REF79740397,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
MMQJ24394083,2026-07-11T00:46:03.032,camt.998.001.03,FREE00000523,2026-07-10T06:20:30,REF00000112872,FREE_FORMAT,PANMENT SIOT R QUEST REF75603765,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
CRFZ87483850,2026-07-09T16:43:35.805,camt.998.001.03,FREE00000153,2026-07-10T04:18:58,REF00000569719,FREE_FORMAT,PAYCENLATION SEQUERT REF30394586,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
WLLK75907458,2026-07-12T21:05:04.334,camt.998.001.03,FREE00000499,2026-07-01T17:29:07,REF00000033293,FREE_FORMAT,CAYMENL STON SEQUEST REF81864362,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
AVHT68994383,2026-07-13T22:21:54.302,camt.998.001.03,FREE00000344,2026-07-06T12:55:56,REF00000552815,FREE_FORMAT,CAYCENTASTONUR QUEST REF20614820,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
EVLK91564838,2026-07-07T13:10:10.246,camt.998.001.03,FREE00000301,2026-07-04T18:09:07,REF00000357380,FREE_FORMAT,CANMENT SIANUREQUEST REF32525089,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
CFMM91027352,2026-07-08T07:39:22.186,camt.998.001.03,FREE00000030,2026-07-05T05:44:51,REF00000573888,FREE_FORMAT,CAYMENT STAN REQUERY REF95775651,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
FPXB93877001,2026-07-09T05:45:05.195,camt.998.001.03,FREE00000563,2026-07-05T15:04:58,REF00000266335,FREE_FORMAT,PAYMELTASIOT REQUERT REF76061416,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
DUZZ63142050,2026-07-11T05:10:49.381,camt.998.001.03,FREE00000512,2026-07-03T02:23:14,REF00000504697,FREE_FORMAT,PANCELL TIOTUREQUERT REF34834038,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
MYBI75678118,2026-07-01T05:39:11.633,camt.998.001.03,FREE00000022,2026-07-10T15:45:21,REF00000217217,FREE_FORMAT,CAYCELTASTONUR QUERY REF92199891,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
BXNV51641548,2026-07-01T19:37:59.103,camt.998.001.03,FREE00000431,2026-07-12T14:32:16,REF00000180800,FREE_FORMAT,CANMELT SION SEQUESY REF46960214,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
JFSS18120051,2026-07-09T11:53:35.565,camt.998.001.03,FREE00000575,2026-07-09T11:12:19,REF00000339498,FREE_FORMAT,CANCENTATIOT S QUERY REF59769616,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
